TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille;;;;;;;;;;;
9461437;9461518;9464634;9750052;9833944;281;0;14;10;125;4_7;8;;560;55440;55,44;0,924;;;;;;
9900582;9900663;9903779;10189054;10272871;281;0;14;10;125;4_7;9;;609;60291;60,291;1,00485;;;;;;
10339464;10339545;10342654;10686051;10770026;338;0;14;10;125;4_7;10;;609;60291;60,291;1,00485;;;;;;
10836762;10836849;10839981;11183053;11266976;338;0;14;10;125;4_7;11;;609;60291;60,291;1,00485;;;;;;
11333655;11333735;11336851;11680051;11764034;338;0;14;10;125;4_7;12;;609;60291;60,291;1,00485;;;;;;
11830743;11830826;11833956;12177053;12260986;338;0;14;10;125;4_7;13;;609;60291;60,291;1,00485;;;;;;
12327613;12327696;12330817;12674051;12758046;338;0;14;10;125;4_7;14;;658;65142;65,142;1,0857;;;;;;
12828427;12828510;12831692;13229055;13312988;396;0;14;10;125;4_7;15;;658;65142;65,142;1,0857;;;;;;
13379705;13379786;13382948;13782051;13866034;396;0;14;10;125;4_7;16;;658;65142;65,142;1,0857;;;;;;
13932759;13932842;13935977;14335057;14419031;396;0;14;10;125;4_7;17;;658;65142;65,142;1,0857;;;;;;
14485669;14485750;14488890;14888051;14972042;396;0;14;10;125;4_7;18;;658;65142;65,142;1,0857;;;;;;
15038745;15038828;15041968;15441054;15524990;396;0;14;10;125;4_7;19;;707;69993;69,993;1,16655;;;;;;
15591646;15591726;15594852;16052051;16136098;453;0;14;10;125;4_7;20;;707;69993;69,993;1,16655;;;;;;
16202784;16202877;16206015;16663053;16746966;453;0;14;10;125;4_7;21;;0;0;0;0;;;;;;
16813634;16813718;16816852;17274050;17358057;453;0;14;10;125;4_7;22;;224;22176;22,176;0,3696;;;;;;
17428420;17428498;17431701;17887055;17970972;453;0;14;10;125;4_7;23;;224;22176;22,176;0,3696;;;;;;
18037629;18037709;18040843;18498051;18582040;453;0;14;10;125;4_7;24;;224;22176;22,176;0,3696;;;;;;
18648726;18648811;18651956;19167053;19250988;510;0;14;10;125;4_7;25;;224;22176;22,176;0,3696;;;;;;
19317667;19317751;19320894;19836051;19920096;510;0;14;10;125;4_7;26;;281;27819;27,819;0,46365;;;;;;
19986799;19986889;19990033;20505053;20589008;510;0;14;10;125;4_7;27;;281;27819;27,819;0,46365;;;;;;
20655654;20655735;20658880;21174051;21258034;510;0;14;10;125;4_7;28;;281;27819;27,819;0,46365;;;;;;
21324772;21324857;21328007;21843053;21926990;510;0;14;10;125;4_7;29;;281;27819;27,819;0,46365;;;;;;
21997212;21997290;22000482;22570053;22654031;568;0;14;10;125;4_7;30;;281;27819;27,819;0,46365;;;;;;
22720729;22720812;22723960;23295054;23379015;568;0;14;10;125;4_7;31;;338;33462;33,462;0,5577;;;;;;
23445661;23445741;23448886;24020051;24104096;568;0;14;10;125;4_7;32;;338;33462;33,462;0,5577;;;;;;
24170770;24170856;24174009;24745054;24828995;568;0;14;10;125;4_7;33;;338;33462;33,462;0,5577;;;;;;
24895684;24895764;24898916;25470052;25554040;568;0;14;10;125;4_7;34;;338;33462;33,462;0,5577;;;;;;
25620739;25620822;25623970;26253053;26336990;625;0;14;10;125;4_7;35;;338;33462;33,462;0,5577;;;;;;
26403641;26403721;26406858;27036051;27120086;625;0;14;10;125;4_7;36;;396;39204;39,204;0,6534;;;;;;
27186768;27186856;27190004;27819053;27903021;625;0;14;10;125;4_7;37;;396;39204;39,204;0,6534;;;;;;
27973268;27973346;27976545;28606053;28690077;625;0;14;10;125;4_7;38;;396;39204;39,204;0,6534;;;;;;
28756770;28756856;28760015;29389054;29473002;625;0;14;10;125;4_7;39;;396;39204;39,204;0,6534;;;;;;
29539702;29539782;29542933;30230051;30314055;682;0;14;10;125;4_7;40;;396;39204;39,204;0,6534;;;;;;
30380766;30380849;30384002;31071053;31154974;682;0;14;10;125;4_7;41;;453;44847;44,847;0,74745;;;;;;
31221617;31221697;31224833;31912051;31996049;682;0;14;10;125;4_7;42;;453;44847;44,847;0,74745;;;;;;
32062727;32062811;32065966;32753053;32836966;682;0;14;10;125;4_7;43;;453;44847;44,847;0,74745;;;;;;
32903633;32903713;32906854;33594051;33678053;682;0;14;10;125;4_7;44;;453;44847;44,847;0,74745;;;;;;
33748401;33748479;33751680;34493064;34577032;740;0;14;10;125;4_7;45;;453;44847;44,847;0,74745;;;;;;
34643666;34643746;34646902;35390051;35474032;740;0;14;10;125;4_7;46;;510;50490;50,49;0,8415;;;;;;
35540731;35540814;35543969;36287053;36370990;740;0;14;10;125;4_7;47;;510;50490;50,49;0,8415;;;;;;
36437644;36437729;36440900;37184051;37268049;740;0;14;10;125;4_7;48;;510;50490;50,49;0,8415;;;;;;
37334779;37334872;37338023;38081053;38164966;740;0;14;10;125;4_7;49;;510;50490;50,49;0,8415;;;;;;
38231626;38231711;38234874;39036051;39120096;797;0;14;10;125;4_7;50;;510;50490;50,49;0,8415;;;;;;
39186805;39186897;39190058;39991053;40074990;797;0;14;10;125;4_7;51;;568;56232;56,232;0,9372;;;;;;
10659914;10659992;10660182;10660272;10744371;0;0;14;0;125;4_8;0;;568;56232;56,232;0,9372;;;;;;
10810985;10811066;10811323;11046057;11130018;232;0;14;10;125;4_8;1;;568;56232;56,232;0,9372;;;;;;
11196547;11196627;11199735;11435052;11518963;232;0;14;10;125;4_8;2;;568;56232;56,232;0,9372;;;;;;
11585591;11585671;11588781;11824055;11907890;232;0;14;10;125;4_8;3;;568;56232;56,232;0,9372;;;;;;
11974434;11974515;11977625;12213053;12294559;232;0;14;10;125;4_8;4;;625;61875;61,875;1,03125;;;;;;
12358730;12358814;12361946;12663059;12746931;297;0;14;10;125;4_8;5;;625;61875;61,875;1,03125;;;;;;
12813550;12813635;12816744;13118058;13201972;297;0;14;10;125;4_8;6;;625;61875;61,875;1,03125;;;;;;
13272169;13272247;13275418;13575060;13658886;297;0;14;10;125;4_8;7;;625;61875;61,875;1,03125;;;;;;
13725451;13725531;13728639;14030057;14114025;297;0;14;10;125;4_8;8;;625;61875;61,875;1,03125;;;;;;
14180625;14180705;14183829;14485059;14568944;297;0;14;10;125;4_8;9;;682;67518;67,518;1,1253;;;;;;
14635556;14635638;14638745;15008058;15092102;363;0;14;10;125;4_8;10;;682;67518;67,518;1,1253;;;;;;
15158797;15158893;15162021;15529063;15613029;363;0;14;10;125;4_8;11;;682;67518;67,518;1,1253;;;;;;
15679644;15679725;15682839;16050056;16134085;363;0;14;10;125;4_8;12;;682;67518;67,518;1,1253;;;;;;
16200766;16200850;16203982;16571059;16654977;363;0;14;10;125;4_8;13;;682;67518;67,518;1,1253;;;;;;
16725171;16725253;16728429;17095059;17179083;363;0;14;10;125;4_8;14;;740;73260;73,26;1,221;;;;;;
17245791;17245883;17248996;17682059;17765982;429;0;14;10;125;4_8;15;;740;73260;73,26;1,221;;;;;;
17832632;17832713;17835845;18269057;18353061;429;0;14;10;125;4_8;16;;740;73260;73,26;1,221;;;;;;
18419815;18419905;18423035;18856058;18939980;429;0;14;10;125;4_8;17;;740;73260;73,26;1,221;;;;;;
19006621;19006701;19009833;19443057;19527034;429;0;14;10;125;4_8;18;;740;73260;73,26;1,221;;;;;;
19593713;19593794;19596935;20030059;20114039;429;0;14;10;125;4_8;19;;797;78903;78,903;1,31505;;;;;;
20180654;20180735;20183858;20681057;20765025;494;0;14;10;125;4_8;20;;797;78903;78,903;1,31505;;;;;;
20831713;20831794;20834935;21332059;21416018;494;0;14;10;125;4_8;21;;0;0;0;0;;;;;;
21486267;21486349;21489543;21987058;22071095;494;0;14;10;125;4_8;22;;232;22968;22,968;0,3828;;;;;;
22137809;22137899;22141037;22638059;22721987;494;0;14;10;125;4_8;23;;232;22968;22,968;0,3828;;;;;;
22788611;22788691;22791819;23289057;23373044;494;0;14;10;125;4_8;24;;232;22968;22,968;0,3828;;;;;;
23439753;23439840;23442985;24006059;24090050;560;0;14;10;125;4_8;25;;232;22968;22,968;0,3828;;;;;;
24156727;24156812;24159946;24723057;24807034;560;0;14;10;125;4_8;26;;297;29403;29,403;0,49005;;;;;;
24873698;24873779;24876931;25440058;25523996;560;0;14;10;125;4_8;27;;297;29403;29,403;0,49005;;;;;;
25590672;25590756;25593894;26157057;26241061;560;0;14;10;125;4_8;28;;297;29403;29,403;0,49005;;;;;;
26311369;26311448;26314645;26876061;26959980;560;0;14;10;125;4_8;29;;297;29403;29,403;0,49005;;;;;;
27026602;27026682;27029817;27659057;27743046;625;0;14;10;125;4_8;30;;297;29403;29,403;0,49005;;;;;;
27809741;27809828;27812972;28442059;28526015;625;0;14;10;125;4_8;31;;363;35937;35,937;0,59895;;;;;;
28592642;28592722;28595860;29225056;29309037;625;0;14;10;125;4_8;32;;363;35937;35,937;0,59895;;;;;;
29375739;29375826;29378980;30008059;30092020;625;0;14;10;125;4_8;33;;363;35937;35,937;0,59895;;;;;;
30158670;30158750;30161896;30791061;30875050;625;0;14;10;125;4_8;34;;363;35937;35,937;0,59895;;;;;;
30941744;30941828;30944974;31640059;31723992;691;0;14;10;125;4_8;35;;363;35937;35,937;0,59895;;;;;;
31790620;31790701;31793847;32489057;32573029;691;0;14;10;125;4_8;36;;429;42471;42,471;0,70785;;;;;;
32643388;32643466;32646672;33340061;33423996;691;0;14;10;125;4_8;37;;429;42471;42,471;0,70785;;;;;;
33490611;33490692;33493831;34189057;34273037;691;0;14;10;125;4_8;38;;429;42471;42,471;0,70785;;;;;;
34339772;34339859;34343019;35038059;35122023;691;0;14;10;125;4_8;39;;429;42471;42,471;0,70785;;;;;;
35188659;35188739;35191892;35953057;36037037;756;0;14;10;125;4_8;40;;429;42471;42,471;0,70785;;;;;;
36103763;36103848;36107004;36868059;36951968;756;0;14;10;125;4_8;41;;494;48906;48,906;0,8151;;;;;;
37018608;37018696;37021837;37783056;37867018;756;0;14;10;125;4_8;42;;494;48906;48,906;0,8151;;;;;;
37933746;37933830;37936982;38698059;38781966;756;0;14;10;125;4_8;43;;494;48906;48,906;0,8151;;;;;;
38852210;38852288;38855491;39613059;39697075;756;0;14;10;125;4_8;44;;494;48906;48,906;0,8151;;;;;;
39763749;39763832;39766989;40592063;40675996;822;0;14;10;125;4_8;45;;494;48906;48,906;0,8151;;;;;;
40742634;40742714;40745858;41571057;41655048;822;0;14;10;125;4_8;46;;560;55440;55,44;0,924;;;;;;
41721732;41721816;41724972;42550058;42633972;822;0;14;10;125;4_8;47;;560;55440;55,44;0,924;;;;;;
42700641;42700721;42703877;43529057;43613083;822;0;14;10;125;4_8;48;;560;55440;55,44;0,924;;;;;;
43679777;43679859;43683019;44508059;44592020;822;0;14;10;125;4_8;49;;560;55440;55,44;0,924;;;;;;
44658690;44658775;44661937;45553057;45637034;887;0;14;10;125;4_8;50;;560;55440;55,44;0,924;;;;;;
45703775;45703858;45707016;46598059;46681985;887;0;14;10;125;4_8;51;;625;61875;61,875;1,03125;;;;;;
3355929;3356007;3356200;3356281;3440401;0;0;14;0;125;4_5;0;;625;61875;61,875;1,03125;;;;;;
3507000;3507081;3507336;3924073;4007954;414;0;14;11;125;4_5;1;;625;61875;61,875;1,03125;;;;;;
4074524;4074607;4077750;4495070;4578948;414;0;14;11;125;4_5;2;;625;61875;61,875;1,03125;;;;;;
4645556;4645637;4648748;5068051;5151880;414;0;14;11;125;4_5;3;;625;61875;61,875;1,03125;;;;;;
5218426;5218506;5221619;5641049;5722529;414;0;14;11;125;4_5;4;;691;68409;68,409;1,14015;;;;;;
5786733;5786817;5789952;6289055;6372896;496;0;14;11;125;4_5;5;;691;68409;68,409;1,14015;;;;;;
6439509;6439590;6442706;6942053;7025950;496;0;14;11;125;4_5;6;;691;68409;68,409;1,14015;;;;;;
7096108;7096186;7099363;7597057;7680906;496;0;14;11;125;4_5;7;;691;68409;68,409;1,14015;;;;;;
7747452;7747532;7750644;8250053;8333948;496;0;14;11;125;4_5;8;;691;68409;68,409;1,14015;;;;;;
8400616;8400697;8403814;8903050;8986884;496;0;14;11;125;4_5;9;;756;74844;74,844;1,2474;;;;;;
9053468;9053549;9056658;9638053;9722061;578;0;14;11;125;4_5;10;;756;74844;74,844;1,2474;;;;;;
9788754;9788841;9791972;10373055;10456956;578;0;14;11;125;4_5;11;;756;74844;74,844;1,2474;;;;;;
10523634;10523714;10526822;11108053;11192061;578;0;14;11;125;4_5;12;;756;74844;74,844;1,2474;;;;;;
11258757;11258841;11261972;11843055;11926999;578;0;14;11;125;4_5;13;;756;74844;74,844;1,2474;;;;;;
11993658;11993742;11996873;12660053;12744046;660;0;14;11;125;4_5;14;;822;81378;81,378;1,3563;;;;;;
12814377;12814460;12817642;13479057;13562994;660;0;14;11;125;4_5;15;;822;81378;81,378;1,3563;;;;;;
13629641;13629721;13632844;14296053;14380040;660;0;14;11;125;4_5;16;;822;81378;81,378;1,3563;;;;;;
14446804;14446893;14450027;15113064;15197017;660;0;14;11;125;4_5;17;;822;81378;81,378;1,3563;;;;;;
15263666;15263747;15266882;15930048;16014051;660;0;14;11;125;4_5;18;;822;81378;81,378;1,3563;;;;;;
16080760;16080843;16083990;16829055;16912966;742;0;14;11;125;4_5;19;;887;87813;87,813;1,46355;;;;;;
16979612;16979693;16982824;17728053;17812053;742;0;14;11;125;4_5;20;;887;87813;87,813;1,46355;;;;;;
17878738;17878821;17881965;18627055;18711001;742;0;14;11;125;4_5;21;;0;0;0;0;;;;;;
18777660;18777745;18780888;19526053;19610094;742;0;14;11;125;4_5;22;;414;40986;40,986;0,6831;;;;;;
19680503;19680582;19683814;20509057;20593001;824;0;14;11;125;4_5;23;;414;40986;40,986;0,6831;;;;;;
20659636;20659716;20662845;21490053;21574065;824;0;14;11;125;4_5;24;;414;40986;40,986;0,6831;;;;;;
21640753;21640836;21643981;22471055;22555003;824;0;14;11;125;4_5;25;;414;40986;40,986;0,6831;;;;;;
22621685;22621770;22624908;23452053;23536090;824;0;14;11;125;4_5;26;;496;49104;49,104;0,8184;;;;;;
23602782;23602876;23606013;24433050;24517016;824;0;14;11;125;4_5;27;;496;49104;49,104;0,8184;;;;;;
24583691;24583772;24586916;25496053;25580069;906;0;14;11;125;4_5;28;;496;49104;49,104;0,8184;;;;;;
25646796;25646885;25650025;26559055;26643001;906;0;14;11;125;4_5;29;;496;49104;49,104;0,8184;;;;;;
26713276;26713354;26716551;27624055;27708053;906;0;14;11;125;4_5;30;;496;49104;49,104;0,8184;;;;;;
27774738;27774821;27777968;28687055;28770998;906;0;14;11;125;4_5;31;;578;57222;57,222;0,9537;;;;;;
